"","Country","Year","Value_sum","SDG"
"2107","Chile",2013,46.078336,"14"
"2267","Chile",2014,45.3835514111676,"14"
"2427","Chile",2015,45.274274,"14"
"2587","Chile",2016,45.7628645888324,"14"
"2747","Chile",2017,45.748342,"14"
"2907","Chile",2018,45.731144,"14"
"3067","Chile",2019,46.505088,"14"
"28","China",2000,1.357004,"14"
"188","China",2001,1.458344,"14"
"348","China",2002,1.830694,"14"
"508","China",2003,1.830694,"14"
"668","China",2004,2.120496,"14"
"828","China",2005,2.120496,"14"
"988","China",2006,2.198866,"14"
"1148","China",2007,2.278866,"14"
"1308","China",2008,2.294866,"14"
"1468","China",2009,2.5341,"14"
"1628","China",2010,2.3101,"14"
"1788","China",2011,2.4841,"14"
"1948","China",2012,2.4401,"14"
"2108","China",2013,2.545548,"14"
"2268","China",2014,2.665548,"14"
"2428","China",2015,2.485548,"14"
"2588","China",2016,2.313548,"14"
"2748","China",2017,2.771548,"14"
"2908","China",2018,3.105548,"14"
"3068","China",2019,2.921548,"14"
"29","Colombia",2000,9.388232,"14"
"189","Colombia",2001,9.388232,"14"
"349","Colombia",2002,9.525156,"14"
"509","Colombia",2003,9.525156,"14"
"669","Colombia",2004,9.525156,"14"
"829","Colombia",2005,11.061958,"14"
"989","Colombia",2006,11.663558,"14"
"1149","Colombia",2007,11.605558,"14"
"1309","Colombia",2008,11.897558,"14"
"1469","Colombia",2009,11.733558,"14"
"1629","Colombia",2010,12.779558,"14"
"1789","Colombia",2011,11.867656,"14"
"1949","Colombia",2012,11.9746855710309,"14"
"2109","Colombia",2013,12.410406,"14"
"2269","Colombia",2014,12.519116,"14"
"2429","Colombia",2015,12.407548,"14"
"2589","Colombia",2016,12.3376855137064,"14"
"2749","Colombia",2017,12.135774,"14"
"2909","Colombia",2018,12.053774,"14"
"3069","Colombia",2019,12.257774,"14"
"30","Comoros",2000,2.47114,"14"
"190","Comoros",2001,2.47114,"14"
"350","Comoros",2002,2.47114,"14"
"510","Comoros",2003,2.47114,"14"
"670","Comoros",2004,2.47114,"14"
"830","Comoros",2005,2.47114,"14"
"990","Comoros",2006,2.43314,"14"
"1150","Comoros",2007,2.54314,"14"
"1310","Comoros",2008,2.78714,"14"
"1470","Comoros",2009,2.85914,"14"
"1630","Comoros",2010,2.43914,"14"
"1790","Comoros",2011,4.05314,"14"
"1950","Comoros",2012,2.42226822508233,"14"
"2110","Comoros",2013,2.518302,"14"
"2270","Comoros",2014,2.94633927491767,"14"
"2430","Comoros",2015,3.029478,"14"
"2590","Comoros",2016,2.569478,"14"
"2750","Comoros",2017,2.619478,"14"
"2910","Comoros",2018,2.619478,"14"
"3070","Comoros",2019,2.703478,"14"
"31","Congo",2000,14.32954,"14"
"191","Congo",2001,14.32954,"14"
"351","Congo",2002,14.32954,"14"
"511","Congo",2003,14.32954,"14"
"671","Congo",2004,14.32954,"14"
"831","Congo",2005,14.32954,"14"
"991","Congo",2006,12.54954,"14"
"1151","Congo",2007,14.68354,"14"
"1311","Congo",2008,14.46754,"14"
"1471","Congo",2009,13.62754,"14"
"1631","Congo",2010,13.99954,"14"
"1791","Congo",2011,14.78954,"14"
"1951","Congo",2012,13.7656266056123,"14"
"2111","Congo",2013,13.920146,"14"
"2271","Congo",2014,14.831538581414,"14"
"2431","Congo",2015,15.586082,"14"
"2591","Congo",2016,13.060082,"14"
"2751","Congo",2017,15.630294,"14"
"2911","Congo",2018,16.186294,"14"
"3071","Congo",2019,17.722294,"14"
"32","Cook Islands",2000,1.783254,"14"
"192","Cook Islands",2001,1.783254,"14"
"352","Cook Islands",2002,1.783254,"14"
"512","Cook Islands",2003,1.783254,"14"
"672","Cook Islands",2004,1.783254,"14"
"832","Cook Islands",2005,1.783254,"14"
"992","Cook Islands",2006,3.181254,"14"
"1152","Cook Islands",2007,1.307254,"14"
"1312","Cook Islands",2008,0.175254,"14"
